run_id,source_run_id,model,suite,quant_label,n,acc_f16,acc_quant,delta,ci_lo,ci_hi,p_mcnemar,b_lost,c_gained,truncated_f16,truncated_quant,state,seed_rule
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic,unsloth_Q4_K_M,500,0.864000,0.868000,0.004000,-0.024000,0.032000,0.887725,24,26,4,4,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,mradermacher_i1_Q3_K_M,94,0.851064,0.744681,-0.106383,-0.191489,-0.021277,0.030884,14,4,2,8,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,mradermacher_i1_Q4_K_M,94,0.851064,0.776596,-0.074468,-0.159574,0.010638,0.143463,12,5,2,1,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,mradermacher_static_Q3_K_M,94,0.851064,0.744681,-0.106383,-0.180851,-0.031915,0.012939,12,2,2,9,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,mradermacher_static_Q4_K_M,94,0.851064,0.829787,-0.021277,-0.085106,0.042553,0.753906,6,4,2,3,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,unsloth_Q3_K_M,94,0.851064,0.840426,-0.010638,-0.095745,0.074468,1.000000,9,8,2,2,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b-shootout-arm1,llama-3.1-8b-instruct,arithmetic_twins,unsloth_Q4_K_M,94,0.851064,0.851064,0.000000,-0.063830,0.063830,1.000000,4,4,2,2,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b2-shootout-arm1,llama-3.1-8b-instruct,factual_qa,mradermacher_i1_Q3_K_M,500,0.314000,0.278000,-0.036000,-0.062000,-0.010000,0.009560,31,13,4,1,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b2-shootout-arm1,llama-3.1-8b-instruct,factual_qa,mradermacher_i1_Q4_K_M,500,0.314000,0.306000,-0.008000,-0.030000,0.014000,0.596615,18,14,4,1,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b2-shootout-arm1,llama-3.1-8b-instruct,factual_qa,mradermacher_static_Q3_K_M,500,0.314000,0.268000,-0.046000,-0.072000,-0.020000,0.001089,35,12,4,3,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b2-shootout-arm1,llama-3.1-8b-instruct,factual_qa,mradermacher_static_Q4_K_M,500,0.314000,0.308000,-0.006000,-0.030000,0.018000,0.735879,19,16,4,1,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b2-shootout-arm1,llama-3.1-8b-instruct,factual_qa,unsloth_Q3_K_M,500,0.314000,0.272000,-0.042000,-0.070000,-0.016000,0.003802,35,14,4,3,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-shootout-arm1,0b2-shootout-arm1,llama-3.1-8b-instruct,factual_qa,unsloth_Q4_K_M,500,0.314000,0.302000,-0.012000,-0.034000,0.010000,0.391528,20,14,4,4,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,0b-arm2-official,qwen2.5-7b-instruct,longctx_retrieval,Q3_K_M,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,1,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,0b-arm2-official,qwen2.5-7b-instruct,longctx_retrieval,Q4_K_M,96,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0,0,2,12,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,0b-arm2-official,qwen2.5-7b-instruct,arithmetic,Q3_K_M,500,0.920000,0.918000,-0.002000,-0.026000,0.022000,1.000000,18,17,0,0,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,0b-arm2-official,qwen2.5-7b-instruct,arithmetic,Q4_K_M,500,0.920000,0.922000,0.002000,-0.018000,0.022000,1.000000,12,13,0,0,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,0b-arm2-official,qwen2.5-7b-instruct,arithmetic_twins,Q3_K_M,94,0.893617,0.904255,0.010638,-0.063830,0.085106,1.000000,6,7,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,0b-arm2-official,qwen2.5-7b-instruct,arithmetic_twins,Q4_K_M,94,0.893617,0.914894,0.021277,-0.031915,0.074468,0.687500,2,4,0,0,indeterminate,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,0b2-arm2-official,qwen2.5-7b-instruct,factual_qa,Q3_K_M,500,0.192000,0.160000,-0.032000,-0.054000,-0.010000,0.007000,24,8,3,1,damaged,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
0b-arm2-official,0b2-arm2-official,qwen2.5-7b-instruct,factual_qa,Q4_K_M,500,0.192000,0.184000,-0.008000,-0.024000,0.008000,0.454498,10,6,3,1,equivalent,"random.Random(f""2:{run_id}:{quant_label}:{suite}"")"
